主力净流入,主力流入,主力流出,超大买单成交量,超大买单成交额,超大卖单成交量,超大卖单成交额,大买单成交量,大买单成交额,大卖单成交量,大卖单成交额,中买单成交量,中买单成交额,中卖单成交量,中卖单成交额,小买单成交量,小买单成交额,小卖单成交量,小卖单成交额,时间区间
-5564492.00,3067448.00,8631940.00,0,0.00,521600,4886715.00,327000,3067448.00,399800,3745225.00,274500,2574730.00,1106897,10368687.80,301303,2824989.20,664000,6219446.00,20190102093000000 to 20190102094000000
-23754446.16,4527929.63,28282375.79,0,0.00,1238463,11513947.79,486100,4527929.63,1807400,16768428.00,381000,3537184.00,2312900,21455468.00,426700,3964843.00,767937,7132761.21,20190102094000000 to 20190102095000000
-6643798.28,8479403.52,15123201.80,0,0.00,348000,3221788.00,915519,8479403.52,1286240,11901413.80,1123700,10408937.00,1030700,9529079.40,397500,3680779.00,334862,3097221.92,20190102095000000 to 20190102100000000
10163778.00,12868543.00,2704765.00,735000,6815220.00,0,0.00,652300,6053323.00,291800,2704765.00,411200,3813064.00,454300,4209335.00,272600,2527667.00,325648,3017865.96,20190102100000000 to 20190102101000000
-9003510.33,2509653.03,11513163.36,0,0.00,900100,8316045.39,271661,2509653.03,345639,3197117.97,283600,2623505.00,387300,3581320.00,222800,2061635.00,235380,2176546.60,20190102101000000 to 20190102102000000
287990.00,1706625.00,1418635.00,184500,1706625.00,0,0.00,0,0.00,153300,1418635.00,252350,2336844.50,128300,1186851.00,171400,1587070.00,225778,2088490.00,20190102102000000 to 20190102103000000
-5184610.39,801050.00,5985660.39,0,0.00,336000,3106185.00,86600,801050.00,311900,2879475.39,138261,1277567.03,547539,5056235.97,141700,1309821.00,353400,3264646.00,20190102103000000 to 20190102104000000
156188.00,917532.00,761344.00,0,0.00,0,0.00,99300,917532.00,82500,761344.00,178600,1649775.00,332800,3072749.00,182500,1686178.00,193400,1785730.00,20190102104000000 to 20190102105000000
894475.00,3126816.00,2232341.00,0,0.00,0,0.00,338400,3126816.00,241800,2232341.00,130300,1204687.00,625800,5778919.00,184600,1706631.00,241589,2231358.47,20190102105000000 to 20190102110000000
-3322838.00,461500.00,3784338.00,0,0.00,170000,1567400.00,50000,461500.00,240100,2216938.00,96700,893486.00,474800,4379723.00,156700,1446964.00,237400,2190704.00,20190102110000000 to 20190102111000000
-2039136.00,1060527.00,3099663.00,114900,1060527.00,271000,2499987.00,0,0.00,64900,599676.00,75700,699252.00,318500,2939063.00,157000,1450440.00,113700,1049322.00,20190102111000000 to 20190102112000000
113128.00,737752.00,624624.00,0,0.00,0,0.00,79800,737752.00,67600,624624.00,103800,959912.00,258283,2385814.89,125820,1163463.80,99043,914952.89,20190102112000000 to 20190102113000000
-4738232.96,816855.00,5555087.96,0,0.00,506752,4675008.96,88500,816855.00,95400,880079.00,98500,909697.00,241672,2230599.08,142448,1315418.52,193228,1782894.44,20190102130000000 to 20190102131000000
-10969807.80,0.00,10969807.80,0,0.00,943060,8688828.20,0,0.00,247700,2280979.60,148640,1370729.40,501900,4622465.00,201140,1854769.40,379300,3493611.40,20190102131000000 to 20190102132000000
-2321611.00,1259452.00,3581063.00,0,0.00,200000,1842612.00,136600,1259452.00,188700,1738451.00,214500,1977600.00,332735,3064706.35,234165,2157920.65,220565,2031256.00,20190102132000000 to 20190102133000000
-7241504.86,3522491.18,10763996.04,150258,1383876.18,702000,6459157.42,231900,2138615.00,467422,4304838.62,235700,2171151.00,392177,3612019.40,253856,2338795.76,208622,1921274.62,20190102133000000 to 20190102134000000
16064.00,878696.00,862632.00,0,0.00,0,0.00,95200,878696.00,93500,862632.00,160200,1478646.00,198000,1826310.00,126700,1169593.00,237800,2193120.00,20190102134000000 to 20190102135000000
-15677034.00,1591488.00,17268522.00,172800,1591488.00,1258000,11574213.00,0,0.00,618600,5694309.00,176300,1625588.00,576900,5311614.04,175640,1618608.00,325460,2997141.56,20190102135000000 to 20190102140000000
-2458534.56,3880134.00,6338668.56,119900,1099483.00,296040,2717647.20,302900,2780651.00,394696,3621021.36,363000,3338304.00,841900,7730557.60,393700,3619547.00,353020,3241774.60,20190102140000000 to 20190102141000000
904422.00,1408209.00,503787.00,0,0.00,0,0.00,152900,1408209.00,54700,503787.00,146900,1352960.00,78300,720750.00,233700,2152555.00,140500,1292864.00,20190102141000000 to 20190102142000000
-648953.00,324544.00,973497.00,0,0.00,0,0.00,35200,324544.00,105700,973497.00,295600,2725681.00,139300,1282865.00,146000,1346123.00,106391,979834.51,20190102142000000 to 20190102143000000
738018.00,1236820.00,498802.00,0,0.00,0,0.00,134000,1236820.00,54100,498802.00,146300,1351456.00,194200,1791822.00,131900,1217997.00,198400,1830208.00,20190102143000000 to 20190102144000000
-5193262.80,3634132.60,8827395.40,0,0.00,659900,6071481.00,394480,3634132.60,299551,2755914.40,229340,2112469.29,336669,3100986.69,135800,1250533.09,279669,2575532.00,20190102144000000 to 20190102145000000
-3842762.98,1244288.00,5087050.98,0,0.00,198000,1819620.00,135300,1244288.00,355542,3267430.98,206700,1900661.00,495817,4556558.23,384865,3539150.35,325900,2995021.00,20190102145000000 to 20190102150000000
